location,date,variant,num_sequences,perc_sequences,num_sequences_total
India,11/5/2020,others,471,100,471
India,11/5/2020,non_who,471,100,471
Ireland,11/5/2020,B.1.160,0,0,115
Ireland,11/5/2020,B.1.620,0,0,115
Ireland,11/5/2020,B.1.258,0,0,115
Ireland,11/5/2020,B.1.221,0,0,115
Ireland,11/5/2020,B.1.1.302,,,115
Ireland,11/5/2020,B.1.1.277,,,115
Ireland,11/5/2020,B.1.1.519,,,115
Ireland,11/5/2020,B.1.367,0,0,115
Ireland,11/5/2020,B.1.177,0,0,115
Ireland,11/5/2020,Beta,0,0,115
Ireland,11/5/2020,Alpha,0,0,115
Ireland,11/5/2020,Gamma,0,0,115
Ireland,11/5/2020,Delta,0,0,115
Ireland,11/5/2020,Kappa,0,0,115
Ireland,11/5/2020,Epsilon,0,0,115
Ireland,11/5/2020,Eta,0,0,115
Ireland,11/5/2020,Iota,0,0,115
Ireland,11/5/2020,Lambda,0,0,115
Ireland,11/5/2020,Mu,0,0,115
Ireland,11/5/2020,S:677P.Pelican,,,115
Ireland,11/5/2020,S:677H.Robin1,,,115
Ireland,11/5/2020,others,115,100,115
Ireland,11/5/2020,non_who,115,100,115
Italy,11/5/2020,B.1.160,0,0,122
Italy,11/5/2020,B.1.620,0,0,122
Italy,11/5/2020,B.1.258,0,0,122
Italy,11/5/2020,B.1.221,0,0,122
Italy,11/5/2020,B.1.1.302,,,122
Italy,11/5/2020,B.1.1.277,0,0,122
Italy,11/5/2020,B.1.1.519,0,0,122
Italy,11/5/2020,B.1.367,0,0,122
Italy,11/5/2020,B.1.177,0,0,122
Italy,11/5/2020,Beta,0,0,122
Italy,11/5/2020,Alpha,0,0,122
Italy,11/5/2020,Gamma,0,0,122
Italy,11/5/2020,Delta,0,0,122
Italy,11/5/2020,Kappa,0,0,122
Italy,11/5/2020,Epsilon,0,0,122
Italy,11/5/2020,Eta,0,0,122
Italy,11/5/2020,Iota,0,0,122
Italy,11/5/2020,Lambda,0,0,122
Italy,11/5/2020,Mu,0,0,122
Italy,11/5/2020,S:677P.Pelican,,,122
Italy,11/5/2020,S:677H.Robin1,,,122
Italy,11/5/2020,others,122,100,122
Italy,11/5/2020,non_who,122,100,122
Japan,11/5/2020,B.1.160,0,0,406
Japan,11/5/2020,B.1.620,,,406
Japan,11/5/2020,B.1.258,0,0,406
Japan,11/5/2020,B.1.221,0,0,406
Japan,11/5/2020,B.1.1.302,0,0,406
Japan,11/5/2020,B.1.1.277,0,0,406
Japan,11/5/2020,B.1.1.519,0,0,406
Japan,11/5/2020,B.1.367,,,406
Japan,11/5/2020,B.1.177,0,0,406
Japan,11/5/2020,Beta,0,0,406
Japan,11/5/2020,Alpha,0,0,406
Japan,11/5/2020,Gamma,0,0,406
Japan,11/5/2020,Delta,0,0,406
Japan,11/5/2020,Kappa,0,0,406
Japan,11/5/2020,Epsilon,0,0,406
Japan,11/5/2020,Eta,0,0,406
Japan,11/5/2020,Iota,0,0,406
Japan,11/5/2020,Lambda,0,0,406
Japan,11/5/2020,Mu,0,0,406
Japan,11/5/2020,S:677P.Pelican,,,406
Japan,11/5/2020,S:677H.Robin1,0,0,406
Japan,11/5/2020,others,406,100,406
Japan,11/5/2020,non_who,406,100,406
Kenya,11/5/2020,B.1.160,0,0,69
Kenya,11/5/2020,B.1.620,,,69
Kenya,11/5/2020,B.1.258,,,69
Kenya,11/5/2020,B.1.221,,,69
Kenya,11/5/2020,B.1.1.302,,,69
Kenya,11/5/2020,B.1.1.277,,,69
Kenya,11/5/2020,B.1.1.519,,,69
Kenya,11/5/2020,B.1.367,,,69
Kenya,11/5/2020,B.1.177,0,0,69
Kenya,11/5/2020,Beta,0,0,69
Kenya,11/5/2020,Alpha,0,0,69
Kenya,11/5/2020,Gamma,,,69
Kenya,11/5/2020,Delta,0,0,69
Kenya,11/5/2020,Kappa,0,0,69
Kenya,11/5/2020,Epsilon,,,69
Kenya,11/5/2020,Eta,0,0,69
Kenya,11/5/2020,Iota,,,69
Kenya,11/5/2020,Lambda,,,69
Kenya,11/5/2020,Mu,,,69
Kenya,11/5/2020,S:677P.Pelican,,,69
Kenya,11/5/2020,S:677H.Robin1,,,69
Kenya,11/5/2020,others,69,100,69
Kenya,11/5/2020,non_who,69,100,69
Mexico,11/5/2020,B.1.160,,,198
Mexico,11/5/2020,B.1.620,,,198
Mexico,11/5/2020,B.1.258,0,0,198
Mexico,11/5/2020,B.1.221,,,198
Mexico,11/5/2020,B.1.1.302,,,198
Mexico,11/5/2020,B.1.1.277,,,198
Mexico,11/5/2020,B.1.1.519,0,0,198
Mexico,11/5/2020,B.1.367,,,198
Mexico,11/5/2020,B.1.177,0,0,198
Mexico,11/5/2020,Beta,0,0,198
Mexico,11/5/2020,Alpha,0,0,198
Mexico,11/5/2020,Gamma,0,0,198
Mexico,11/5/2020,Delta,0,0,198
Mexico,11/5/2020,Kappa,0,0,198
Mexico,11/5/2020,Epsilon,0,0,198
Mexico,11/5/2020,Eta,,,198
Mexico,11/5/2020,Iota,0,0,198
Mexico,11/5/2020,Lambda,0,0,198
Mexico,11/5/2020,Mu,0,0,198
Mexico,11/5/2020,S:677P.Pelican,0,0,198
Mexico,11/5/2020,S:677H.Robin1,0,0,198
Mexico,11/5/2020,others,198,100,198
Mexico,11/5/2020,non_who,198,100,198
Netherlands,11/5/2020,B.1.160,0,0,214
Netherlands,11/5/2020,B.1.620,0,0,214
Netherlands,11/5/2020,B.1.258,0,0,214
Netherlands,11/5/2020,B.1.221,0,0,214
Netherlands,11/5/2020,B.1.1.302,,,214
Netherlands,11/5/2020,B.1.1.277,0,0,214
Netherlands,11/5/2020,B.1.1.519,0,0,214
Netherlands,11/5/2020,B.1.367,0,0,214
Netherlands,11/5/2020,B.1.177,0,0,214
Netherlands,11/5/2020,Beta,0,0,214
Netherlands,11/5/2020,Alpha,0,0,214
Netherlands,11/5/2020,Gamma,0,0,214
Netherlands,11/5/2020,Delta,0,0,214
Netherlands,11/5/2020,Kappa,0,0,214
Netherlands,11/5/2020,Epsilon,0,0,214
Netherlands,11/5/2020,Eta,0,0,214
Netherlands,11/5/2020,Iota,0,0,214
Netherlands,11/5/2020,Lambda,0,0,214
Netherlands,11/5/2020,Mu,0,0,214
Netherlands,11/5/2020,S:677P.Pelican,,,214
Netherlands,11/5/2020,S:677H.Robin1,0,0,214
Netherlands,11/5/2020,others,214,100,214
Netherlands,11/5/2020,non_who,214,100,214
Peru,11/5/2020,B.1.160,,,47
Peru,11/5/2020,B.1.620,,,47
Peru,11/5/2020,B.1.258,,,47
Peru,11/5/2020,B.1.221,,,47
Peru,11/5/2020,B.1.1.302,,,47
Peru,11/5/2020,B.1.1.277,,,47
Peru,11/5/2020,B.1.1.519,,,47
Peru,11/5/2020,B.1.367,,,47
Peru,11/5/2020,B.1.177,0,0,47
Peru,11/5/2020,Beta,,,47
Peru,11/5/2020,Alpha,0,0,47
Peru,11/5/2020,Gamma,0,0,47
Peru,11/5/2020,Delta,0,0,47
Peru,11/5/2020,Kappa,,,47
Peru,11/5/2020,Epsilon,0,0,47
Peru,11/5/2020,Eta,,,47
Peru,11/5/2020,Iota,,,47
Peru,11/5/2020,Lambda,0,0,47
Peru,11/5/2020,Mu,0,0,47
Peru,11/5/2020,S:677P.Pelican,,,47
Peru,11/5/2020,S:677H.Robin1,,,47
Peru,11/5/2020,others,47,100,47
Peru,11/5/2020,non_who,47,100,47
Poland,11/5/2020,B.1.160,0,0,59
Poland,11/5/2020,B.1.620,,,59
Poland,11/5/2020,B.1.258,0,0,59
Poland,11/5/2020,B.1.221,0,0,59
Poland,11/5/2020,B.1.1.302,,,59
Poland,11/5/2020,B.1.1.277,0,0,59
Poland,11/5/2020,B.1.1.519,0,0,59
Poland,11/5/2020,B.1.367,,,59
Poland,11/5/2020,B.1.177,0,0,59
Poland,11/5/2020,Beta,0,0,59
Poland,11/5/2020,Alpha,0,0,59
Poland,11/5/2020,Gamma,0,0,59
Poland,11/5/2020,Delta,0,0,59
Poland,11/5/2020,Kappa,,,59
Poland,11/5/2020,Epsilon,,,59
Poland,11/5/2020,Eta,0,0,59
Poland,11/5/2020,Iota,,,59
Poland,11/5/2020,Lambda,0,0,59
Poland,11/5/2020,Mu,0,0,59
Poland,11/5/2020,S:677P.Pelican,,,59
Poland,11/5/2020,S:677H.Robin1,0,0,59
Poland,11/5/2020,others,59,100,59
Poland,11/5/2020,non_who,59,100,59
Qatar,11/5/2020,B.1.160,0,0,172
Qatar,11/5/2020,B.1.620,,,172
Qatar,11/5/2020,B.1.258,,,172
Qatar,11/5/2020,B.1.221,,,172
Qatar,11/5/2020,B.1.1.302,,,172
Qatar,11/5/2020,B.1.1.277,,,172
Qatar,11/5/2020,B.1.1.519,,,172
Qatar,11/5/2020,B.1.367,,,172
Qatar,11/5/2020,B.1.177,,,172
Qatar,11/5/2020,Beta,0,0,172
Qatar,11/5/2020,Alpha,0,0,172
Qatar,11/5/2020,Gamma,,,172
Qatar,11/5/2020,Delta,0,0,172
Qatar,11/5/2020,Kappa,0,0,172
Qatar,11/5/2020,Epsilon,,,172
Qatar,11/5/2020,Eta,0,0,172
Qatar,11/5/2020,Iota,,,172
Qatar,11/5/2020,Lambda,,,172
Qatar,11/5/2020,Mu,,,172
Qatar,11/5/2020,S:677P.Pelican,,,172
Qatar,11/5/2020,S:677H.Robin1,0,0,172
Qatar,11/5/2020,others,172,100,172
Qatar,11/5/2020,non_who,172,100,172
Russia,11/5/2020,B.1.160,,,65
Russia,11/5/2020,B.1.620,,,65
Russia,11/5/2020,B.1.258,0,0,65
Russia,11/5/2020,B.1.221,,,65
Russia,11/5/2020,B.1.1.302,,,65
Russia,11/5/2020,B.1.1.277,,,65
Russia,11/5/2020,B.1.1.519,,,65
Russia,11/5/2020,B.1.367,,,65
Russia,11/5/2020,B.1.177,0,0,65
Russia,11/5/2020,Beta,0,0,65
Russia,11/5/2020,Alpha,0,0,65
Russia,11/5/2020,Gamma,,,65
Russia,11/5/2020,Delta,0,0,65
Russia,11/5/2020,Kappa,0,0,65
Russia,11/5/2020,Epsilon,,,65
Russia,11/5/2020,Eta,0,0,65
Russia,11/5/2020,Iota,,,65
Russia,11/5/2020,Lambda,,,65
Russia,11/5/2020,Mu,,,65
Russia,11/5/2020,S:677P.Pelican,,,65
Russia,11/5/2020,S:677H.Robin1,,,65
Russia,11/5/2020,others,65,100,65
Russia,11/5/2020,non_who,65,100,65
Singapore,11/5/2020,B.1.160,0,0,112
Singapore,11/5/2020,B.1.620,,,112
Singapore,11/5/2020,B.1.258,0,0,112
Singapore,11/5/2020,B.1.221,,,112
Singapore,11/5/2020,B.1.1.302,,,112
Singapore,11/5/2020,B.1.1.277,,,112
Singapore,11/5/2020,B.1.1.519,,,112
Singapore,11/5/2020,B.1.367,0,0,112
Singapore,11/5/2020,B.1.177,0,0,112
Singapore,11/5/2020,Beta,0,0,112
Singapore,11/5/2020,Alpha,0,0,112
Singapore,11/5/2020,Gamma,0,0,112
Singapore,11/5/2020,Delta,0,0,112
Singapore,11/5/2020,Kappa,0,0,112
Singapore,11/5/2020,Epsilon,0,0,112
Singapore,11/5/2020,Eta,0,0,112
Singapore,11/5/2020,Iota,0,0,112
Singapore,11/5/2020,Lambda,,,112
Singapore,11/5/2020,Mu,,,112
Singapore,11/5/2020,S:677P.Pelican,,,112
Singapore,11/5/2020,S:677H.Robin1,,,112
Singapore,11/5/2020,others,112,100,112
Singapore,11/5/2020,non_who,112,100,112
South Africa,11/5/2020,B.1.160,,,135
South Africa,11/5/2020,B.1.620,,,135
South Africa,11/5/2020,B.1.258,,,135
South Africa,11/5/2020,B.1.221,,,135
South Africa,11/5/2020,B.1.1.302,,,135
South Africa,11/5/2020,B.1.1.277,,,135
South Africa,11/5/2020,B.1.1.519,,,135
South Africa,11/5/2020,B.1.367,,,135
South Africa,11/5/2020,B.1.177,,,135
South Africa,11/5/2020,Beta,0,0,135
South Africa,11/5/2020,Alpha,0,0,135
South Africa,11/5/2020,Gamma,,,135
South Africa,11/5/2020,Delta,0,0,135
South Africa,11/5/2020,Kappa,0,0,135
South Africa,11/5/2020,Epsilon,,,135
South Africa,11/5/2020,Eta,0,0,135
South Africa,11/5/2020,Iota,,,135
South Africa,11/5/2020,Lambda,,,135
South Africa,11/5/2020,Mu,,,135
South Africa,11/5/2020,S:677P.Pelican,,,135
South Africa,11/5/2020,S:677H.Robin1,,,135
South Africa,11/5/2020,others,135,100,135
South Africa,11/5/2020,non_who,135,100,135
South Korea,11/5/2020,B.1.160,0,0,48
South Korea,11/5/2020,B.1.620,0,0,48
South Korea,11/5/2020,B.1.258,0,0,48
South Korea,11/5/2020,B.1.221,0,0,48
South Korea,11/5/2020,B.1.1.302,,,48
South Korea,11/5/2020,B.1.1.277,,,48
South Korea,11/5/2020,B.1.1.519,0,0,48
South Korea,11/5/2020,B.1.367,,,48
South Korea,11/5/2020,B.1.177,0,0,48
South Korea,11/5/2020,Beta,0,0,48
South Korea,11/5/2020,Alpha,0,0,48
South Korea,11/5/2020,Gamma,0,0,48
South Korea,11/5/2020,Delta,0,0,48
South Korea,11/5/2020,Kappa,0,0,48
South Korea,11/5/2020,Epsilon,0,0,48
South Korea,11/5/2020,Eta,0,0,48
South Korea,11/5/2020,Iota,0,0,48
South Korea,11/5/2020,Lambda,,,48
South Korea,11/5/2020,Mu,0,0,48
